orderId,productId,quantitiy
1,89,1
1,93,1
1,857,1
1,166,1
2,463,1
2,881,1
2,9,1
2,621,1
2,911,1
2,718,1
3,662,1
3,910,1
3,771,1
3,982,1
3,85,1
3,625,1
3,249,1
3,888,1
4,480,1
5,273,1
6,457,1
7,995,1
7,676,1
8,736,1
8,873,1
8,457,1
9,733,1
9,312,1
9,345,1
10,668,1
10,208,1
10,350,1
11,503,1
11,66,1
11,836,1
12,108,1
12,931,1
12,928,1
13,625,1
14,636,1
14,797,1
14,216,1
14,872,1
14,160,1
15,740,1
15,573,1
16,256,1
16,930,2
16,690,1
16,343,1
16,930,1
17,813,1
17,751,1
17,194,1
18,286,1
18,940,1
18,751,1
18,7,1
18,606,1
19,54,1
19,799,1
19,449,1
19,601,1
20,784,1
20,124,1
20,390,1
21,395,1
21,78,1
21,397,1
21,564,1
21,604,1
21,554,1
21,673,1
22,783,1
22,947,1
23,860,1
23,891,1
23,7,1
23,997,1
23,796,1
23,922,1
24,583,1
24,911,1
25,46,1
25,355,1
25,551,1
25,974,1
25,454,1
25,678,1
25,976,1
26,83,1
26,921,1
26,506,1
26,850,1
26,109,1
27,485,1
27,163,1
28,762,1
28,339,1
28,367,1
28,445,1
29,361,1
29,493,1
30,613,1
31,718,1
31,939,1
31,335,1
31,265,1
31,37,1
32,20,1
32,934,1
32,431,1
32,996,1
32,872,1
33,516,1
34,470,1
34,634,1
34,491,1
35,61,1
36,905,1
36,746,1
36,668,1
37,538,1
37,823,1
37,158,1
37,679,1
37,886,1
37,839,1
38,708,1
38,421,1
38,378,1
38,829,1
39,195,1
40,902,1
40,323,1
40,660,1
41,240,1
41,909,1
41,520,1
42,251,1
42,984,1
42,568,1
42,202,1
43,964,1
43,54,1
43,948,1
43,998,1
44,761,1
44,465,1
44,657,1
44,591,1
45,549,1
45,728,1
46,631,1
46,609,1
46,79,1
46,299,1
47,126,1
47,761,1
47,911,1
47,340,1
47,808,1
47,949,1
47,130,1
48,492,1
48,994,1
48,732,1
48,368,1
48,889,1
49,939,1
49,235,1
50,450,1
51,10,1
51,611,1
52,634,1
52,653,1
52,191,1
52,651,1
53,261,1
53,192,1
53,374,1
54,100,1
54,398,1
54,789,1
54,320,1
55,406,1
55,718,1
55,802,1
55,294,1
55,372,1
56,358,1
56,18,1
56,568,1
56,64,1
56,820,1
56,510,1
57,695,1
57,881,1
58,973,1
58,700,1
58,79,1
58,675,1
58,566,1
59,181,1
59,493,1
59,175,1
60,933,1
61,731,1
61,547,1
61,344,1
62,948,1
62,117,1
62,188,1
63,144,1
64,646,1
64,256,1
64,688,1
65,976,1
65,577,1
65,227,1
65,125,1
65,779,1
65,823,1
65,375,1
66,45,1
66,9,1
66,48,1
66,597,1
67,361,1
68,45,1
68,649,1
68,177,1
69,330,1
69,478,1
69,543,1
69,154,1
70,408,1
70,601,1
70,217,1
70,476,1
70,764,1
71,679,1
71,196,1
71,589,1
71,163,1
72,28,1
73,481,1
73,953,1
73,372,1
73,950,1
73,325,1
73,535,1
74,442,1
74,583,1
74,414,1
74,668,1
75,682,1
75,664,1
76,778,1
76,723,1
76,16,1
76,179,1
76,862,1
76,833,1
77,879,1
77,737,1
77,582,1
77,46,1
77,521,1
78,211,1
78,869,1
79,619,1
79,199,1
79,268,1
79,24,1
79,441,1
79,521,1
79,833,1
80,469,1
80,265,1
80,61,1
80,528,1
81,746,1
81,344,1
82,628,1
82,907,1
82,127,1
82,465,1
82,454,1
82,168,1
83,907,1
83,940,1
83,29,1
83,14,1
83,140,1
84,755,1
84,159,1
84,726,1
84,544,1
84,985,1
85,209,1
85,79,1
86,432,1
86,980,1
86,639,1
86,206,1
86,245,1
86,489,1
86,523,1
87,509,1
87,572,1
87,716,1
87,133,1
88,604,1
88,488,1
89,891,1
89,41,1
90,759,1
90,974,1
90,948,1
91,810,1
91,862,1
92,812,1
92,357,1
93,431,1
93,38,1
93,14,1
93,419,1
93,822,1
93,783,1
93,830,1
94,831,1
94,688,1
94,753,1
94,934,1
94,928,1
94,627,1
95,157,1
95,453,1
96,332,1
96,204,1
96,479,1
96,531,1
97,365,1
97,496,1
97,368,1
97,593,1
97,97,1
98,645,1
98,116,1
98,804,1
99,319,1
99,127,1
99,426,1
99,889,1
99,805,1
99,265,1
99,92,1
100,39,1
100,694,1
100,228,1
100,372,1
101,180,1
101,155,1
101,755,1
101,43,1
101,609,1
102,975,1
102,424,1
102,478,1
102,5,1
102,370,1
102,328,1
103,801,1
103,858,1
103,597,1
103,895,1
104,258,1
105,143,1
105,374,1
105,37,1
106,151,1
107,147,1
107,520,1
107,395,1
107,597,1
108,74,1
108,584,1
108,434,1
108,581,1
108,483,1
109,763,1
109,111,1
109,283,1
109,514,1
110,473,1
111,874,1
111,836,1
