orderId,productId
1,89
1,93
1,857
1,166
2,463
2,881
2,9
2,621
2,911
2,718
3,662
3,910
3,771
3,982
3,85
3,625
3,249
3,888
4,480
5,273
6,457
7,995
7,676
8,736
8,873
8,457
9,733
9,312
9,345
10,668
10,208
10,350
11,503
11,66
11,836
12,108
12,931
12,928
13,625
14,636
14,797
14,216
14,872
14,160
15,740
15,573
16,256
16,930
16,690
16,343
16,930
17,813
17,751
17,194
18,286
18,940
18,751
18,7
18,606
19,54
19,799
19,449
19,601
20,784
20,124
20,390
21,395
21,78
21,397
21,564
21,604
21,554
21,673
22,783
22,947
23,860
23,891
23,7
23,997
23,796
23,922
24,583
24,911
25,46
25,355
25,551
25,974
25,454
25,678
25,976
26,83
26,921
26,506
26,850
26,109
27,485
27,163
28,762
28,339
28,367
28,445
29,361
29,493
30,613
31,718
31,939
31,335
31,265
31,37
32,20
32,934
32,431
32,996
32,872
33,516
34,470
34,634
34,491
35,61
36,905
36,746
36,668
37,538
37,823
37,158
37,679
37,886
37,839
38,708
38,421
38,378
38,829
39,195
40,902
40,323
40,660
41,240
41,909
41,520
42,251
42,984
42,568
42,202
43,964
43,54
43,948
43,998
44,761
44,465
44,657
44,591
45,549
45,728
46,631
46,609
46,79
46,299
47,126
47,761
47,911
47,340
47,808
47,949
47,130
48,492
48,994
48,732
48,368
48,889
49,939
49,235
50,450
51,10
51,611
52,634
52,653
52,191
52,651
53,261
53,192
53,374
54,100
54,398
54,789
54,320
55,406
55,718
55,802
55,294
55,372
56,358
56,18
56,568
56,64
56,820
56,510
57,695
57,881
58,973
58,700
58,79
58,675
58,566
59,181
59,493
59,175
60,933
61,731
61,547
61,344
62,948
62,117
62,188
63,144
64,646
64,256
64,688
65,976
65,577
65,227
65,125
65,779
65,823
65,375
66,45
66,9
66,48
66,597
67,361
68,45
68,649
68,177
69,330
69,478
69,543
69,154
70,408
70,601
70,217
70,476
70,764
71,679
71,196
71,589
71,163
72,28
73,481
73,953
73,372
73,950
73,325
73,535
74,442
74,583
74,414
74,668
75,682
75,664
76,778
76,723
76,16
76,179
76,862
76,833
77,879
77,737
77,582
77,46
77,521
78,211
78,869
79,619
79,199
79,268
79,24
79,441
79,521
79,833
80,469
80,265
80,61
80,528
81,746
81,344
82,628
82,907
82,127
82,465
82,454
82,168
83,907
83,940
83,29
83,14
83,140
84,755
84,159
84,726
84,544
84,985
85,209
85,79
86,432
86,980
86,639
86,206
86,245
86,489
86,523
87,509
87,572
87,716
87,133
88,604
88,488
89,891
89,41
90,759
90,974
90,948
91,810
91,862
92,812
92,357
93,431
93,38
93,14
93,419
93,822
93,783
93,830
94,831
94,688
94,753
94,934
94,928
94,627
95,157
95,453
96,332
96,204
96,479
96,531
97,365
97,496
97,368
97,593
97,97
98,645
98,116
98,804
99,319
99,127
99,426
99,889
99,805
99,265
99,92
100,39
100,694
100,228
100,372
101,180
101,155
101,755
101,43
101,609
102,975
102,424
102,478
102,5
102,370
102,328
103,801
103,858
103,597
103,895
104,258
105,143
105,374
105,37
106,151
107,147
107,520
107,395
107,597
108,74
108,584
108,434
108,581
108,483
109,763
109,111
109,283
109,514
110,473
111,874
111,836
111,368
112,972
112,162
112,360
112,120
113,237
113,682
113,43
114,77
114,345
114,475
115,458
115,656
115,410
115,663
115,802
115,685
115,326
115,247
116,313
116,69
116,497
116,326
116,934
117,510
117,412
118,582
118,133
118,949
119,496
119,196
119,265
120,499
120,773
120,189
120,420
120,192
121,324
121,944
121,145
121,818
121,873
121,2
122,425
122,578
122,244
123,35
123,94
123,863
123,733
123,441
123,127
124,80
124,65
124,633
124,770
125,626
125,328
125,8
125,10
125,253
125,669
125,220
125,376
126,825
126,640
126,254
127,80
127,477
127,386
127,154
128,288
128,889
128,872
128,550
128,677
129,643
129,103
130,224
130,96
131,327
132,727
132,612
132,569
133,560
133,46
133,209
133,457
133,6
133,539
134,73
134,328
135,444
135,563
136,745
136,941
136,549
136,336
137,145
137,992
138,259
138,851
139,10
139,24
139,968
140,50
140,324
140,762
140,745
141,646
142,413
142,135
142,481
142,533
143,979
143,976
143,280
143,942
143,970
144,948
144,935
144,460
144,88
144,882
144,117
145,267
145,846
145,546
145,663
145,971
145,455
146,293
146,432
146,69
146,434
147,855
147,498
148,294
148,755
148,66
148,810
149,223
149,314
149,372
149,432
150,571
150,719
150,714
150,873
150,112
151,75
151,303
151,219
151,477
151,920
152,52
152,911
153,144
153,601
153,745
153,691
153,688
153,30
154,69
154,817
154,159
154,711
154,76
154,71
154,945
155,566
156,964
157,196
157,794
158,901
158,425
159,537
160,147
160,19
160,861
160,748
160,448
160,4
161,310
161,906
161,393
162,445
162,587
162,764
162,621
162,915
162,401
162,735
163,597
164,650
164,206
164,617
164,241
165,619
165,728
165,47
165,715
166,572
166,330
166,671
166,315
166,954
166,497
167,157
167,737
167,500
168,575
168,385
168,848
168,658
169,829
169,865
169,687
169,525
170,86
170,112
170,848
171,137
171,812
171,144
171,581
171,443
172,992
172,641
172,35
172,652
172,983
173,128
173,305
173,468
173,179
174,619
174,450
175,132
175,997
175,773
176,549
177,411
177,214
178,619
178,836
178,515
178,508
178,69
178,266
179,783
179,640
179,825
180,704
180,808
180,879
180,630
180,678
180,522
181,458
181,587
181,973
182,328
182,264
182,915
182,999
182,931
182,347
183,447
183,374
183,691
183,601
184,802
184,202
184,935
184,946
184,806
185,985
185,92
186,88
186,92
186,693
186,803
187,774
187,998
188,382
189,553
189,795
189,730
189,774
189,378
190,572
190,265
191,848
191,605
191,956
192,439
192,555
192,712
192,94
192,842
193,510
193,39
193,612
193,363
193,825
194,610
194,881
194,303
194,953
195,525
195,664
195,405
195,327
195,828
196,902
196,489
196,225
196,305
196,124
196,389
197,99
197,767
198,808
198,202
199,511
199,469
199,271
199,612
200,210
200,334
200,48
200,444
200,205
200,804
200,605
200,765
201,442
201,117
202,308
202,608
202,635
202,233
202,65
203,95
203,787
203,356
203,862
203,527
203,994
203,375
204,263
204,535
204,829
204,700
204,49
204,389
205,99
205,541
205,703
205,656
205,261
205,410
205,597
206,868
206,970
206,727
206,348
206,183
206,290
207,4
207,587
207,15
207,948
207,243
207,669
207,561
207,297
208,150
208,523
208,993
208,29
209,736
209,838
209,8
209,624
210,677
210,994
210,803
210,672
210,963
210,957
211,77
211,34
211,371
211,746
212,340
212,410
212,156
212,899
213,329
213,665
213,820
213,94
213,840
214,452
214,389
214,387
215,920
215,654
215,911
215,645
216,980
216,579
217,39
217,679
217,384
217,64
217,124
217,7
217,137
217,970
218,695
218,323
218,501
218,997
218,619
219,64
219,119
220,545
220,818
220,18
220,628
220,193
221,977
221,388
221,18
221,826
221,947
222,819
222,33
223,370
223,823
223,946
224,399
224,390
224,533
224,715
225,175
225,799
225,52
226,745
226,940
226,4
227,389
227,492
227,837
227,84
228,586
228,772
228,280
228,544
229,613
229,906
229,883
229,259
229,961
229,722
229,640
230,931
230,672
230,882
230,333
230,454
230,335
230,943
231,73
231,891
231,628
231,619
231,171
231,371
231,812
232,438
232,815
233,115
233,983
233,866
233,745
233,669
234,736
234,322
235,668
235,345
235,725
235,679
235,170
235,260
236,361
236,42
236,804
236,41
236,778
237,406
237,767
237,591
238,88
239,545
239,252
239,99
240,393
240,995
240,906
240,677
240,138
241,464
241,551
242,752
242,957
